Date,Open,High,Low,Close,Volume,MA_7_Day,MA_20_Day,MA_50_Day,Daily_Return_Pct,Volatility_7Day,Price_Range,Volume_7Day_Avg,Stock
2024-03-21,1441.85,1447.19,1434.06,1440.31,13006936,1423.94,1455.71,1423.39,0.01,0.02,13.13,12893993.14,RELIANCE.NS
2024-03-22,1439.32,1449.27,1436.72,1444.33,19527608,1427.18,1454.39,1426.66,0.0,0.01,12.56,13751918.0,RELIANCE.NS
2024-03-26,1434.38,1441.73,1428.43,1430.98,11415906,1428.61,1451.8,1428.97,-0.01,0.01,13.3,12729747.14,RELIANCE.NS
2024-03-27,1437.36,1488.98,1436.37,1481.88,16326644,1439.19,1452.08,1431.61,0.04,0.02,52.61,12315865.14,RELIANCE.NS
2024-03-28,1481.91,1494.89,1467.79,1474.93,21854364,1445.77,1452.09,1433.9,-0.0,0.02,27.1,14128004.0,RELIANCE.NS
2024-04-01,1481.51,1483.0,1471.61,1473.87,5013880,1454.21,1453.54,1435.7,-0.0,0.01,11.39,13662020.57,RELIANCE.NS
2024-04-02,1473.1,1483.02,1464.16,1476.03,8910166,1460.33,1454.83,1437.93,0.0,0.01,18.86,13722214.86,RELIANCE.NS
2024-04-03,1471.19,1473.54,1458.11,1460.79,7008292,1463.26,1453.81,1440.11,-0.01,0.02,15.44,12865265.71,RELIANCE.NS
2024-04-04,1468.88,1468.88,1439.35,1452.18,14490272,1464.38,1451.61,1442.0,-0.01,0.02,29.53,12145646.29,RELIANCE.NS
2024-04-05,1450.14,1459.99,1445.3,1449.37,7442298,1467.01,1449.62,1443.84,-0.0,0.02,14.69,11577988.0,RELIANCE.NS
2024-04-08,1452.23,1480.02,1450.27,1475.06,8357118,1466.03,1448.77,1446.96,0.02,0.01,29.75,10439484.29,RELIANCE.NS
2024-04-09,1478.06,1478.85,1451.75,1452.9,7071414,1462.88,1448.01,1449.34,-0.02,0.01,27.1,8327634.29,RELIANCE.NS
2024-04-10,1455.58,1476.07,1455.58,1468.7,9138330,1462.15,1448.66,1451.85,0.01,0.01,20.5,8916841.43,RELIANCE.NS
2024-04-12,1465.03,1475.55,1452.33,1456.37,15551012,1459.34,1448.25,1452.23,-0.01,0.01,23.23,9865533.71,RELIANCE.NS
2024-04-15,1450.27,1471.24,1435.7,1454.06,12902062,1458.38,1449.87,1453.37,-0.0,0.01,35.54,10707500.86,RELIANCE.NS
2024-04-16,1442.67,1460.37,1440.26,1454.98,9366184,1458.78,1451.57,1454.14,0.0,0.01,20.1,9975488.29,RELIANCE.NS
